quatrocentist [01/,kwɑ:trou't∫entist/]	như [03quattrocentist]
quinquagesima sunday [01/,kwiηkwə'dʒesimə'sʌndei/]	[01* dtừ]\n- ngày Chủ nhật trước Tuần chay (50 ngày trước lễ Phục sinh) 
quinquagular [01/kwiη'kwæηgjulə/]	[01* ttừ]\n- có năm góc
quinque-dentate [01/,kwinkwi'denteit/]	[01* ttừ]\n- (động vật)(thực vật) năm răng
quinquefarious [01/kwinkwi'feəriəs/]	[01* ttừ]\n- (động vật)(thực vật) năm dây; năm hàng
quinquefid [01/'kwinkwifid/]	[01* ttừ]\n- (thực vật) xẻ năm sâu
quinquefoliate [01/,kwinkwi'foulit/]	[01* ttừ]\n- (thực vật) năm lá chét
quinqueliteral [01/,kwinkwi'liyərəl/]	[01* ttừ]\n- có năm chữ
quinquennia [01/kwiη'kweniə/]	như [03quinquennium]
quinquennial [01/kwiη'kweniəl/]	[01* ttừ]\n- lâu năm năm, kéo dài năm năm\n- năm năm một lần\n[01* dtừ]\n- thời gian năm năm
quinquennium [01/kwiη'kweniəm/]	[01* dtừ] s/n [03quinquennia]\n- thời gian năm năm
quinquepartite [01/,kwiηkwə'pɑ:tait/]	[01* ttừ]\n- chia làm năm; gồm năm bộ phận\n- (chính trị) năm bên, tay năm
quinquereme [01/'kwinkwiri:m/]	[01* dtừ]\n- (cổ La mã) thuyền năm mái chèo
quinquesect [01/'kwinkwisekt/]	[01* ngđtừ]\n- chia ra năm phần bằng nhau
quinquesyllable [01/,kwinkwi'siləbl/]	[01* dtừ]\n- từ năm âm tiết
quinquevalence [01/,kwiηkwə'veiləns/]	- Cách viết khác : [03quinquivalency]
quinquevalency [01/,kwiηkwə'veilənsi/]	- Cách viết khác : [03quinquivalence]
quinquevalent [01/,kwiηkwə'veilənt/]	[01* ttừ]\n- (hoá) có hoá trị năm
quinquevalve [01/'kwinkivæl/]	[01* ttừ]\n- (thực vật) năm vỏ, năm nắp, năm van
quinquina [01/kwiη'kwainə/]	[01* dtừ]\n- cây canh ki na
quinquivalence [01/,kwiɳkwə'veiləns/]	[01* dtừ]\n- (hoá) hoá trị năm
quinquivalency [01/,kwiɳkwə'veilənsi/]	như [03quinquivalence]
quinquivalent [01/,kwiɳkwə'veilənt/]	như [03quinquevalent]
quins [01/kwinz/]	[01* dtừ s/n]\n- (Mỹ),(tục) năm đứa trẻ sinh năm
quinsy [01/'kwinzi/]	[01* dtừ]\n- (y) viêm họng, viêm hạch hạnh có mủ
quint [01/kwint/]	[01* dtừ]\n- (âm nhạc) quâng năm; âm năm\n- (đánh bài) bộ năm cây liên tiếp
quintal [01/'kwintl/]	[01* dtừ]\n- tạ (Anh = 50, 8 kg, Mỹ = 45, 36 kg) 
quintan [01/'kwintən/]	[01* ttừ]\n- (y) cách bốn ngày (cơn sốt)\n[01* dtừ]\n- (y) sốt cách bốn ngày
quintessence [01/kwin'tesns/]	[01* dtừ]\n- tinh chất; tinh tuý, tinh hoa\n- (triết học) nguyên tố thứ năm
quintessential [01/,kwinti'sen∫l/]	[01* ttừ]\n- (thuộc) phần tinh chất, (thuộc) phần tinh tuý, (thuộc) phần tinh hoa\n- (triết học)(thuộc) nguyên tố thứ năm
quintessentially [01/,kwinti'sen∫li/]	[01* phtừ]\n- (thuộc) phần tinh chất, (thuộc) phần tinh tuý, (thuộc) phần tinh hoa\n- <triết> (thuộc) nguyên tố thứ năm\n- (thuộc) thí dụ hoàn hảo của (một phẩm chất) 
quintet [01/kwin'tet/]	[01* dtừ]\n- bộ năm, nhóm năm\n- (âm nhạc) bộ năm; bản nhạc cho bộ năm\n- (Mỹ) đội bóng rổ năm người
quintette [01/kwin'tet/]	như [03quintet]
quintic [01/'kwintik/]	[01* ttừ]\n- (toán) bậc năm
quintillion [01/kwin'tiliən/]	[01* dtừ]\n- (Anh) mười luỹ thừa ba mươi\n- (Mỹ, Pháp) mười luỹ thừa mười tám
quintiple	- bộ năm
quints [01/kwints/]	[01* dtừ]\n- (Mỹ)(vt) của [03quintuplets] (xem [03quintuplet] ) 
