king's evil [01/'kiηz'i:vl/]	như [03scrofula]
knitwear [01/'nitweə/]	[01* dtừ]\n- đồ đan, quần áo đan; hàng dệt kim
knitwork [01/'nitwə:k/]	[01* dtừ]\n- công việc đan\n- đồ đan; hàng dệt kim
knives [01/naif/]	[01* dtừ] s/n [03knives]\n- con dao\n- (y) dao mổ\n[02= the knife] phẫu thuật; cuộc mổ\n[02= to go under the knife] bị mổ\n- (kỹ) dao cắt gọt, dao nạo\n[04! before you can say knife]\n- đột ngột, rất nhanh không kịp kêu lên một tiếng\n[04! to get (have) one's knife into somebody]\n- tấn công ai mânh liệt, đả kích ai kịch kiệt\n[04! knife and fork]\n- sự ăn\n- người ăn\n[02= to be a good (poor) knife and fork] là một người ăn khoẻ (yếu)\n[02= to lay a good knife anf fork] ăn uống ngon lành; ăn khoẻ\n[04! war to the knife]\n- chiến tranh ác liệt, chiến tranh một mất một còn\n[04! you could cut it with a knife]\n- đó là một cái có thực, đó là một cái cụ thể có thể sờ mó được\n[01* ngđtừ]\n- đâm bằng dao; chém bằng dao; cắt bằng dao\n- (Mỹ) dùng thủ đoạn ám muội để làm thất bại ((thường) là về mặt chính trị) 
knob [01/nɔb/]	[01* dtừ]\n- quả đám (ở cửa, tủ...)\n- bướu u, chỗ phồng\n- hòn, cục, viên (than, đường...)\n- (Mỹ) gò, đồi nhỏ\n- (kỹ) đầu (biên) ; nút bấm, núm\n- (lóng) cái đầu\n[04! with knobs on]\n-(mỉa mai) ;(đùa) nói hay đấy, nói dễ nghe đấy; cừ đấy\n- thế chưa hết đâu, còn nữa đấy, còn chán\n[01* ngđtừ]\n- mắc quả đấm (cửa)\n- làm nút bấm, làm núm\n- làm sưng u, làm nổi bướu\n[01* nđtừ]\n- ((thường) +[02out]) u lên, nổi bướu
knobbed	- xem [03knob] 
knobble [01/'nɔbl/]	[01* dtừ]\n- u nhỏ, bướu nhỏ
knobbly [01/'nɔbli/]	[01* ttừ]\n- có u nhỏ, có bướu nhỏ\n[01* ttừ]\n- có u, có bướu\n- (Mỹ) có gò, có đồi nhỏ
knobby [01/'nɔbi/]	[01* ttừ]\n- có nhiều nốt phồng, nổi cục
knobkerrie [01/'nɔb,keri/]	[01* dtừ]\n- gậy tày trên đầu có quả đấm (người bộ lạc Nam Phi dùng để quật hoặc ném) 
knobstick [01/'nɔbstik/]	[01* dtừ]\n- gậy tày, dùi cui\n- (lóng) kẻ phản bội trong cuộc bãi công; kẻ phá bãi công
knock [01/nɔk/]	[01* dtừ]\n- cú đánh, cú va chạm\n[02= a knock on the head] cú đánh vào đầu\n- tiếng gõ (cửa)\n[02= a knock at the door] tiếng gõ cửa\n- (Mỹ),(lóng) lời phê bình kịch liệt, lời chỉ trích gay gắt\n- (kỹ) tiếng nổ lọc xọc (máu bị jơ hoặc hỏng)\n[04! to get the knock]\n- bị thất bại, bị đánh bại\n- (sân khấu) bị khán giả chê\n[04! to take the knock]\n- (lóng) bị sa sút, bị nghèo khổ\n[01* ngđtừ]\n- đập, đánh, va đụng\n[02= to knock somebody on the head] đạp vào đầu ai\n[02= to something to pieces] đạp vụn cái gì\n[02= to knock one's head against something] đụng đầu vào cái gì\n- (lóng) làm choáng người, gây ấn tượng sâu sắc, làm ngạc nhiên hết sức\n- (Mỹ),(lóng) phê bình kịch liệt, chỉ trích gay gắt\n[01* nđtừ]\n- gõ (cửa)\n[02= to knock at the door] gõ cửa\n- (kỹ) kêu lọc xọc, nổ lọc xọc (máy bị jơ hoặc hỏng)\n[04! to knock about (around)]\n- đánh liên hồi, gõ liên hồi\n- hành hạ, làm khổ, làm ngược đãi (ai)\n- đi lang thang, sống lang thang, sống được chăng hay chớ\n[04! to knock against]\n- va phải, đụng phải\n- tình cờ, chạm trán, tình cờ gặp (ai)\n[04! to knock back]\n- (lóng) uống\n[04! to knock down]\n- đánh ngâ, húc ngã; phá đổ (nhà...) ; bắn rơi (máy bay...)\n- đánh quỵ; hạ (uy thế của ai...)\n- gõ búa xuống bàn ra hiệu quyết định bán (bán đấu giá)\n- (tục) yêu cầu (ai hát một bài...)\n- dỡ (máy...) thành từng bộ phận nhỏ (cho gọn khi chuyên chở)\n- (tục) hạ (giá...)\n[04! to knock off]\n- đánh bật đi, đánh văng đi, đánh tung lên\n- nghỉ, ngừng (việc) ; ngừng làm việc\n- giải quyết nhanh, làm mau\n[02= to knock off buisiness] giải quyết nhanh công việc\n[02= to knock off some verses] làm mau mấy câu thơ\n- rút bớt, bớt đi\n[02= to knock off a sum from the bill] bớt một số tiền lớn ở hoá đơn\n- (lóng) ăn cắp, xoáy (cái gì)\n- (lóng) chết\n[04! to knock out]\n- gõ (tẩu cho tàn thuốc) bật ra\n- (thể thao) đánh nốc ao, hạ đo ván (quyền Anh)\n- đánh gục, đánh bại (kẻ địch)\n- (tục) làm vội (một kế hoạch...)\n[04! to knock together]\n- tập hợp vội vàng, vơ váo vào với nhau; ghép vội vào với nhau\n[04! to knock under]\n- đầu hàng, hàng phục, chịu khuất phục, chịu thua\n[04! to knock up]\n- đánh bay lên, đánh tốc lên\n- gõ cửa đánh thức (ai) dậy\n- làm vội vàng, giải quyết vội vàng, thu xếp vội vàng (việc gì)\n- làm kiệt sức, làm mệt lử; kiệt sức, mệt lử\n- (Mỹ),(lóng) làm cho có mang\n- (thể thao) ghi nhanh, thắng nhanh (điểm)\n[04! to knock the bottom out of an argument x bottom to knock into a cocked hat x cocked hat to knock on the head]\n- (bóng) làm thất bại, làm hỏng (kế hoạch...) ; chặn đứng (một âm mưu...)\n[04! to knock somebody's head off]\n- (bóng) thắng ai một cách dễ dàng\n[04! to knock somebody into the middle of next week]\n- đánh ai ngã lăn quay\n[04! to knock somebody off his pins]\n- làm cho ai choáng người, làm cho ai điếng người
knock-about [01/'nɔkəbaut/]	[01* ttừ]\n- (sân khấu) nhộn, ồn ào (tiết mục, trò)\n- lang thang, lêu lổng\n- giày vò được, dầu dâi được (quần áo)\n[01* dtừ]\n- (sân khấu) tiết mục vui nhộn ồn ào; trò vui nhộn ồn ào; người diễn tiết mục vui nhộn ồn ào\n- sự lang thang lêu lổng\n- (Mỹ) thuyết yat loại nhỏ\n- (Mỹ) cuộc đánh nhau, cuộc ẩu đả
knock-down [01/'nɔkdaun/]	[01* ttừ]\n- đánh gục, đánh quỵ (đòn, cú đấm)\n- tối thiểu, có thể bán được (giá bán đấu giá)\n[01* dtừ]\n- cú đánh gục, cú đánh quỵ\n- cuộc ẩu đả
knockdown [01/'nɔk'daun/]	[01* ttừ]\n- rất thấp\n- tháo ra lắp vào dễ dàng
knocker [01/'nɔkə/]	[01* dtừ]\n- người đánh, người đập; người gõ cửa\n- vòng sắt để gõ cửa, búa gõ cửa (treo sãn ở cửa)\n- (Mỹ) người phê bình kịch liệt, người chỉ trích gay gắt\n- ma báo mỏ (người ta tin rằng nó gõ ở đâu thì chỗ ấy có quặng)\n[04! up to the knocker]\n- (lóng) hoàn hảo, hoàn mỹ
knock-for-knock [01/'nɔkfɔ:'nɔk/]	[01* ttừ]\n- (bảo hiểm) mỗi công ty chịu trách nhiệm bồi thường thiệt hại (cho người có hợp đồng bảo hiểm) 
knockhead [01/'nɔkhed/]	[01* nđtừ]\n- cúi lạy sát đất, quỳ lạy; khấu đầu lạy tạ
knocking shop [01/'nɔkiη ∫ɔp/]	[01* dtừ]\n-(tục) nhà chứa; nhà thổ
knock-kneed [01/'nɔkni:d/]	như [03bow-legged]
