rayonnant [01/'reijənənt/]	[01* ttừ]\n- toả tia (trang trí) 
rear-horse [01/'riə,hɔ:s/]	[01* dtừ]\n- con ngựa trời
rearing [01/'riəriη/]	[01* dtừ]\n- cách nuôi dạy\n[02= the rearing of children] cách nuôi dạy con\n- việc chăn nuôi, việc trồng trọt\n- sự lồng lên, sự chồn lên (ngựa...) 
rearm [01/'ri:'ɑ:m/]	[01* ngđtừ]\n- vũ trang lại\n- đổi vũ khí mới, hiện đại hoá vũ khí (các quân chủng) 
rearmament [01/'ri:ə'reindʒmənt/]	[01* dtừ]\n- sự vũ trang lại\n- sự đổi vũ khí mới, sự hiện đại hoá vũ khí (các quân chủng) 
rearmost [01/'riəmoust/]	[01* ttừ]\n- cuối cùng, tận cùng, sau chót
rearrange [01/'ri:ə'reindʒ/]	[01* ngđtừ]\n- sắp xếp lại, bố trí lại, sắp đặt lại
rearrangement [01/'ri:ə'reindʒmənt/]	[01* dtừ]\n- sự sắp xếp lại, sự bố trí lại, sự sắp đặt lại
rearrangment	- sự sắp xếp lại; sự hoán vị
rear-rank [01/,riə'ræηk/]	[01* dtừ]\n- (qsự) hàng ngũ sau
rear-roasted [01/'riə,roustid/]	[01* ttừ]\n- nướng sống
rear-view mirror [01/'riəvju:'mirə/]	[01* dtừ]\n- gương nhìn sau (để nhìn về phía sau ở ô tô) 
rearward [01/'riəwəd/]	[01* dtừ]\n- phía sau\n- (qsự),(như) [03rearguard]\n[01* ttừ]\n- ở sau, ở phía sau\n[01* phtừ]\n- (như) [03rearwards] 
rearwards [01/'riəwədz/]	[01* phtừ]\n- về phía sau ((cũng) [03rearward] ) 
reascend [01/'ri:ə'send/]	[01* đtừ]\n- lên lại\n- lại leo lên (núi, đồi) ; lại đi ngược lên, lại đi ngược dòng (con sông) 
reason [01/'ri:zn/]	[01* dtừ]\n- lý do, lẽ\n[02= by reason of] do bởi\n[02= the reason for my absence] lý do tôi vắng mặt\n[02= for the some reason] cũng vì lẽ ấy\n- lý trí, lý tính\n[02= only man has reason] chỉ có con người mới có lý trí\n- lẽ phải, lý, sự vừa phải\n[02= to listen to reason; to hear reason] nghe theo lẽ phải\n[02= to bring a person to reason] làm cho người nào thấy được lẽ phải\n[02= there is reason in what you say] anh nói có lý\n[02= light of reason] ánh sáng của lẽ phải\n[02= without rhyme or reason] vô lý\n[02= to do something in reason] làm gì có mức độ vừa phải\n[01* đtừ]\n- sự suy luận, suy lý, lý luận\n[02= to reason on (about) at subject] suy luận về một vấn đề\n- tranh luận, cãi lý, cãi lẽ\n[02= to reason with someone] tranh luận với ai, cãi lý với ai\n- dùng lý lẽ để thuyết phục\n[02= to reason someone into doing something] dùng lý lẽ để thuyết phục ai làm gì\n- (+[04 out]) suy ra, luận ra, nghĩ ra\n[02= to reason out the answers to a question] suy ra câu trả lời của câu hỏi\n- trình bày mạch lạc, trình bày với lý lẽ
reasonable [01/'ri:znəbl/]	[01* ttừ]\n- có lý, hợp lý\n[02= a reasonable proposal] một đề nghị hợp lý\n- biết lẽ phải, biết điều; vừa phải, phải chăng\n[02= a reasonable man] người biết điều\n[02= a reasonable price] giá phải chăng\n- (hiếm) có lý trí; biết suy luận, biết suy nghĩ
reasonableness [01/'ri:znəblnis/]	[01* dtừ]\n- tính hợp lý\n- sự biết điều; sự vừa phải, sự phải chăng (giá cả)\n- (hiếm) sự biết suy luận, sự biết suy nghĩ
reasonably [01/'ri:znəbli/]	[01* phtừ]\n- hợp lý\n[02= to discuss the matter calmly and reasonably] thảo luận vấn đề một cách bình tĩnh và hợp lý\n- vừa phải; chấp nhận được hoặc tạm được; vừa vừa hoặc kha khá\n[02= reasonably good/cheap/intelligent] khá tốt/rẻ/thông minh\n[02= a reasonably-priced book] một quyển sách giá cả phải chăng
reasoned [01/'ri:znd/]	[01* ttừ]\n- trình bày hợp lý, trình bày có biện luận chặt chẽ
reasoner [01/'ri:znə/]	[01* dtừ]\n- người hay lý sự, người hay cãi lẽ\n- người hay lý luận
reasoning [01/'ri:zniη/]	[01* dtừ]\n- lý luận, lập luận, lý lẽ\n- sự tranh luận, sự cãi lý\n[02= there is no reasoning with him] không nói lý được với hắn ta\n[01* ttừ]\n- có lý trí, biết suy luận
reasonless [01/'ri:znlis/]	[01* ttừ]\n- vô lý, phi lý
reasonnable	- hợp lý, có lý
reasonning	- sự biện luận, biện lý
reassemble [01/'ri:ə'sembl/]	[01* đtừ]\n- tập hợp lại\n- lắp lại, ráp lại\n[02= to reassemble a watch] lắp (ráp) lại một cái đồng hồ
reassert [01/'ri:ə'sə:t/]	[01* ngđtừ]\n- xác nhận lại, nói chắc lại\n- lại lên tiếng đòi\n[02= to reassert one's rights] lại lên tiếng đòi quyền lợi
reassess [01/'ri:ə'ses/]	[01* ngđtừ]\n- định giá lại để đánh thuế\n- định mức lại (tiền thuế, tiền phạt...)\n- đánh thuế lại; phạt lại
reassume [01/'ri:ə'sju:m/]	[01* ngđtừ]\n- lại khoác cái vẻ; lại giả bộ, lại giả đò, lại giả vờ\n[02= to reassume a look of innocence] lại giả vờ ra vẻ vô tội\n- lại đảm đương, lại đảm nhiệm\n[02= to reassume the responsibilities] lại nhận trách nhiệm\n[02= to reassume a duty] lại đảm đương nhiệm vụ\n- lại nắm lấy, lại chiếm lấy\n[02= to reassume authority] lại nắm lấy quyền hành\n- lại cho rằng, lại giả sử rằng\n[02= to reassume that this is true] lại cho rằng điều ấy đúng
reassurance [01/,ri:ə'∫uərəns/]	[01* dtừ]\n- sự cam đoan một lần nữa, sự đoan chắc một lần nữa\n- sự làm yên tâm, sự làm yên lòng; sự làm vững dạ\n- sự bảo hiểm lại
reassure [01/,ri:ə'∫uə/]	[01* ngđtừ]\n- cam đoan một lần nữa, đoan chắc một lần nữa\n- bảo hiểm lại
reassuring [01/,ri:ə'∫uəriη/]	[01* ttừ]\n- làm yên lòng; làm vững dạ
reattatch [01/,ri:ə'tæt∫/]	[01* ngđtừ]\n- buộc lại lần nữa
reattempt [01/,ri:ə'tempt/]	[01* ngđtừ]\n- thử làm lần nữa, cố gắng lần nữa
reave [01/ri:v/]	[01* ngđtừ] [03reft] /reft/\n- (cổ),(thơ ca) tàn phá\n- cướp bóc, cướp đoạt, cướp giật\n[02= trees reft of leaves] những cây trụi hết lá
reawaken [01/'ri:ə'weikn/]	[01* ngđtừ]\n- đánh thức một lần nữa, làm cho tỉnh giấc lại\n- lại thức tỉnh (ai), làm cho (ai) tỉnh ngộ lại\n- gợi lại\n[02= to reawaken someone's love] gợi lại tình yêu của ai\n[01* nđtừ]\n- thức dậy lại; tỉnh giấc lại\n- thức tỉnh lại, tỉnh ngộ lại
rebake [01/'ri:'beik/]	[01* ngđtừ]\n- nướng lại (bánh...)\n- nung lại (gạch, ngói...) 
reballasting [01/,ri:'bæləstiη/]	[01* dtừ]\n- sự rãi balat lại
rebaptise [01/rebaptise/]	[01* ngđtừ]\n- (tôn giáo) rửa tội lại\n- đặt tên lại
rebaptism [01/'ri:'bæptizm/]	[01* dtừ]\n- (tôn giáo) sự rửa tội lại; lễ rửa tội lại\n- sự đặt tên lại; lễ đặt tên lại
rebaptize [01/'ri:bæp'taiz/]	như [03rebaptise]
rebarbarise [01/'ri:'bɑ:bəraiz/]	như [03rebarbarize]
rebarbarize [01/'ri:'bɑ:bəraiz/]	[01* ngđtừ]\n- làm trở thành dã man (một dân tộc)\n- làm hỏng lại, làm cho thành lai căng lại (một ngôn ngữ) 
rebarbative [01/ri'bɑ:bətiv/]	như [03odious]
rebate [01/ri'beit/]	[01* dtừ]\n- việc hạ giá, việc giảm bớt (số tiền trả)\n- số tiền được hạ, số tiền được giảm bớt\n[01* ngđtừ]\n- (cổ) làm giảm bớt (sức mạnh, hiệu lực của một việc gì)\n- làm cùn (lưỡi dao)\n[01* dtừ & ngđtừ]\n- (như) [03rabbet] 
rebbe [01/'rəbə/]	[01* dtừ]\n- thầy học, người hướng dẫn tinh thần của người Do thái; tôn sư (Do thái) 
rebec [01/'ri:bek/]	như [03rebeck]
rebeck [01/'ri:bek/]	[01* dtừ]\n- (âm nhạc) đàn viôlông ba dây (thời Trung cổ ở châu Âu) 
rebel [01/'rebl/]	[01* dtừ]\n- người nổi loạn, người phiến loạn\n- người chống đối (lại chính quyền, chính sách, luật pháp...)\n- (Mỹ),(lóng) người dân các bang miền nam\n- (định ngữ) nổi loạn, phiến loạn; chống đối\n[02= the rebel army] đạo quân nổi loạn(ri'bel)\n[01* nđtừ (+ against)]\n- dấy loạn, nổi loạn\n- chống đối
rebellion [01/ri'beljən/]	[01* dtừ]\n- cuộc nổi loạn, cuộc phiến loạn\n[02= to rise in rebellion] nổi loạn\n[02= a rebellion against the King] một cuộc nổi loạn chống lại nhà vua\n- sự chống lại (chính quyền, chính sách, luật pháp...) 
rebellious [01/ri'beljəs/]	[01* ttừ]\n- nổi loạn, phiến loạn\n- chống đối, hay chống đối\n[02= a rebellious act] một hành vi chống đối\n- bất trị, khó trị (người, bệnh...)\n[02= my rebellious locks] (thân mật) những mớ tóc bất trị của tôi (chải mấy cũng cứ rủ xuống hoặc dựng đứng lên) 
rebellow [01/ri:'belou/]	[01* đtừ]\n- (thơ ca) vang lại oang oang
rebidding [01/ri'bidiη/]	[01* dtừ]\n- sự bỏ phiếu lại
rebind [01/'ri:'baind/]	[01* ngđtừ]\n- buộc lại\n- đóng lại (sách) ; viền lại (một tấm thảm) ; sửa lại vành (bánh xe) 
rebinding [01/'ri:'baindiη/]	[01* dtừ]\n- sự buộc lại\n- sự đóng lại (sách) ; sự viền lại (một tấm thảm) ; sự sửa lại vành (bánh xe) 
rebirth [01/'ri:'belou/]	[01* dtừ]\n- sự sinh lại, sự hiện thân mới
reblossom [01/ri:'blɔsəm/]	[01* nđtừ]\n- nở hoa lại
reboant [01/'rebouənt/]	[01* ttừ]\n- (thơ ca) vang lại oang oang
reboisement [01/ri'bɔizmənt/]	[01* dtừ]\n- sự trồng lại rừng
reboot	- khởi động lại
