head-work [01/'hedwə:k/]	như [03headwork]
heavy	[01* ttừ]\n- nặng, nặng nề (đen & bóng)\n[02= a heavy burden] gánh nặng\n[02= a heavy task] công việc nặng nề\n[02= a heavy wound] vết thương nặng\n[02= a heavy sleep] giấc ngủ nặng nề\n[02= a heavy drinker] người nghiện rượu nặng\n[02= heavy losses] thiệt hại nặng\n- (+[04 with]) chất nặng, chứa đầy, nặng trĩu\n[02= cart-with goods] xe bò chất nặng hàng hoá\n[02= air-wirth the scent of roses] không khí ngát hương hoa hồng\n- nặng, khó tiêu (thức ăn)\n- (qsự) nặng trọng\n[02= heavy guns (artillery)] trọng pháo, súng lớn\n[02= heavy metal] trọng pháo, súng lớn; (bóng) địch thủ đáng gờm, địch thủ ghê gớm\n- nhiều, bội, rậm rạp\n[02= heavy crop] vụ mùa bội thu\n[02= heavy foliage] cành lá rậm rạp\n- lớn, to, dữ dội, kịch liệt\n[02= heavy storm] bão lớn\n[02= heavy rain] mưa to, mưa như trút nước\n[02= heavy sea] biển động dữ dội\n- chắc, bì bì, không xốp, không nở (bột bánh...)\n- chán ngắt, buồn tẻ, không hấp dẫn (tác phẩm văn học nghệ thuật)\n- âm u, u ám, ảm đạm\n[02= heavy sky] bầu trời âm u\n- lấy lội khó đi (đường sá...)\n- tối dạ, chậm hiểu, đần độn (người)\n- trông nặng trình trịch, vụng về khó coi, thô\n- đau buồn, đau đớn, bi thảm, chán nản, thất vọng\n[02= heavy news] tin buồn\n[02= a heavy heart] lòng nặng trĩu đau buồn\n[02= a heavy fate] số phận đáng buồn, số phận bi thảm\n- buồn ngủ\n[02= to be heavy with sleep] buồn ngủ rũ ra\n- (sân khấu) nghiêm nghị, khắc khổ\n[02= to play the part of a heavy father] đóng vai một ông bố nghiêm nghị khắc khổ\n- (hoá) đặc, khó bay hơi\n[02= heavy oil] dầu đặc\n[04! to be heavy on (in) hand]\n- khó cầm cương (ngựa)\n- (bóng) khó làm vui, khoa làm cho khuây khoả (người)\n[04! heavy swell]\n- (tục) người lên khung để tỏ vẻ ta đây quan trọng\n[01* phtừ]\n- nặng, nặng nề\n[02= to lie heavy on...] đè nặng lên...\n- chậm chạp\n[02= time hangs heavy] thời gian trôi đi chậm chạp\n[01* dtừ] s/n [03heavies]\n- đội cận vệ Rồng\n- (số nhiều)(the Heavies) trọng pháo\n- (Mỹ) võ sĩ hạng nặng, đồ vật hạng nặng; người nặng trên trung bình\n- (Mỹ) vai nghiêm nghị khắc khổ (trên sân khấu) 
heavy hydrogen [01/'hevi'haidrədʒən/]	[01* dtừ]\n- hydro nặng
heavy industry [01/'hevi'indəstri/]	[01* dtừ]\n- công nghiệp nặng
heavy mental [01/'hevi'metl/]	[01* dtừ]\n- nhạc rốc nhịp nhàng và ồn ào
heavy spar [01/'hevi'spa:/]	[01* dtừ]\n- một loại khoáng sản; barit
heavy water [01/'hevi'wɔ:tə/]	[01* dtừ]\n- (hoá) nước nặng
heavy-armed [01/'hevi'ɑ:md/]	[01* ttừ]\n- (qsự) có trang bị vũ khí nặng
heavy-duty [01/'hevi'dju:ti/]	[01* ttừ]\n- (kỹ) có thể làm những công việc nặng; rất mạnh, siêu công suất (máy...)\n- có thể dãi dầu (quần áo...) 
heavy-footed [01/'hevi'futid/]	[01* ttừ]\n- nặng nề chậm chạp
heavy-handed [01/'hevi'hændid/]	[01* ttừ]\n- vụng về, không khéo tay\n- (bóng) độc đoán, áp chế, áp bức
heavy-handedly [01/'hevi'hændidli/]	[01* phtừ]\n- vụng về\n- độc đoán
heavy-handedness [01/'hevi'hændidnis/]	[01* dtừ]\n- sự vụng về\n- sự độc đoán
heavy-harted [01/'hevi'hɑ:tid/]	[01* ttừ]\n- lòng nặng trĩu đau buồn, phiền muộn; chán nản
heavy-hearted [01/'hevi'hɑ:tid/]	[01* ttừ]\n- lòng nặng trựu đau buồn, phiền muộn; chán nản
heavy-laden [01/'hevi'leidn/]	[01* ttừ]\n- mang nặng, chở nặng
heavy-set [01/'heviset/]	[01* ttừ]\n- to chắc nịch
heavyweight [01/'heviweit/]	[01* dtừ]\n- võ sĩ hạng nặng, đô vật hạng nặng (nặng từ 79, 5 kg trở lên)\n- (Mỹ),(lóng) người rất thông minh; người có ảnh hưởng lớn, người quan trọng, người có tiếng nói có trọng lượng
heavy-weight [01/'heviweit/]	[01* dtừ]\n- người nặng trên trung bình (trên 70 kilôgram)\n- võ sĩ hạng nặng, đô vật hạng nặng; đô kề nặng trên trung bình\n- (Mỹ),(lóng) người rất thông minh; người có ảnh hưởng lớn, người quan trọng, người có tiếng nói có trọng lượng
hebdomad [01/'hebdəməd/]	[01* dtừ]\n- tuần lễ\n- bộ bảy
hebdomadad [01/heb'dɔmədl/]	[01* ttừ]\n- hàng tuần, mỗi tuần một lần\n[04! Hebdomadal Council]\n- hội đồng mỗi tuần họp một lần (trường đại học Ôc-phớt) 
hebdomadal [01/heb'dɔmədl/]	[01* ttừ]\n- hàng tuần, mỗi tuần một lần
hebe [01/'hi:bi:/]	[01* dtừ]\n- (thần thoại) thần thanh niên\n-(đùa) cô gái hầu bàn, cô phục vụ ở quầy rượu
hebephrenia [01/,hi:bi'fri:njə/]	[01* dtừ]\n- bệnh thanh xuân (ngây ngô, ảo giác và hành động (như) trẻ con) 
hebephrenic [01/,hi:bi'frenik/]	[01* ttừ]\n- xem [03hebephrenia] chỉ thuộc về
hebetate [01/'hebiteit/]	[01* ngđtừ]\n- người ngây dại, làm u mê, làm đần độn\n[01* nđtừ]\n- ngây dại, u mê, hoá đần
hebetude [01/'hebitju:d/]	[01* dtừ]\n- sự ngây dại, sự u mê, sự đần độn
hebetudious [01/'hebitju:dinəs/]	[01* ttừ]\n- xem [03hebetude] chỉ có tính chất
hebraic [01/hi:'breiik/]	[01* ttừ]\n- (thuộc) Hê-brơ
hebraism [01/'hi:breiizm/]	[01* dtừ]\n- đặc tính của người Hê-brơ\n- hệ tư tưởng và tôn giáo Hê-brơ\n- từ ngữ đặc Hê-brơ
hebraist [01/'hi:brei,ist/]	[01* dtừ]\n- chuyên gia nghiên cứu về Hê-brơ
hebraistic [01/,hi:brei'istik/]	[01* ttừ]\n- xem [03hebraic]\n- mang nét đặc trưng của Hê brơ
hebraization [01/'hibreiai'zei∫n/]	[01* dtừ]\n- sự Hê-brơ hoá
hebraize [01/'hi:brei,aiz/]	[01* ngđtừ]\n- Hê-brơ hoá
hebrew [01/'hi:bru:/]	[01* dtừ]\n- người Hê-brơ, người Do thái\n- tiếng Hê-brơ (Do thái) cổ\n[02= modern hebrew] tiếng Do thái hiện nay\n- (tục) lời nói khó hiểu\n[01* ttừ]\n- (thuộc) Hê-brơ
hecarte [01/'hekəti:/]	[01* dtừ]\n- (thần thoại) nữ thần mặt trăng\n- nữ thần trái đất\n- nữ thần phù thuỷ
hecatomb [01/'hekətoum/]	[01* dtừ]\n- sự giết một con vật để tế thần\n- sự giết chóc nhiều người; cảnh tàn sát khủng khiếp
heck [01/hek/]	[01* dtừ]\n- cái đăng (đặt ở ngang sông để bắt cá)\n- (nói trại) địa ngục\n[01* thán từ]\n- (nói trại) đồ quỷ tha!, đồ chết tiệt
heckle [01/'hekl/]	[01* dtừ]\n- (như) [03hackle]\n[01* ngđtừ (hackle)]\n- chải (sợi lanh) bằng bàn chải thép\n- kết tơ lông cổ gà trống vào (ruồi giả)\n[01* ngđtừ]\n- truy, chất vấn, hỏi vặn (ai, tại một cuộc tranh cử...) 
heckler [01/'heklə/]	[01* dtừ]\n- người truy, người chất vấn, người hỏi vặn
hectare [01/'hektɑ:/]	[01* dtừ]\n- hecta
hectic [01/'hektik/]	[01* ttừ]\n- cuồng nhiệt, sôi nổi, say sưa\n[02= for a hectic moment] trong một lúc cuồng nhiệt\n- (thuộc) lao phổi; mắc bệnh lao phổi\n[02= hectic fever] sốt lao phổi\n- ửng đỏ vì lên cơn sốt\n[01* dtừ]\n- sốt lao phổi\n- người mắc bệnh lao phổi\n- sự ửng đỏ vì lên cơn sốt
hectically [01/'hektikəli/]	[01* phtừ]\n- sôi nổi, cuồng nhiệt
hectogram [01/'hektougræm/]	như [03hectogramme]
hectogramme [01/'hektougræm/]	[01* dtừ]\n- hectogam
hectograph [01/'hektougrɑ:f/]	[01* dtừ]\n- máy in bản viết (thành nhiều bản)\n[01* ngđtừ]\n- in bản viết (thành nhiều bản) 
hectoliter [01/'hektouli:tə/]	[01* dtừ]\n- hectolit
hectolitre [01/'hektouli:tə/]	như [03hectoliter]
hectometer [01/'hektou,mi:tə/]	[01* dtừ]\n- Hectomet
hectometre [01/'hektou,mi:tə/]	như [03hectometer]
hector [01/'hektə/]	[01* dtừ]\n- kẻ bắt nạt, kẻ ăn hiếp\n- kẻ hay làm phách; kẻ hay hăm doạ, quát tháo ầm ĩ\n- kẻ hay khoe khoang khoác lác ầm ĩ\n[01* đtừ]\n- bắt nạt, ăn hiếp\n- doạ nạt ầm ĩ, quát tháo ầm ĩ\n- khoe khoang khoác lác ầm ĩ
hectowatt [01/'hektəwɔt/]	[01* dtừ]\n- (điện học) hectooat
he'd [01/hi:d/]	- (vt) của [02he had, he would] 
heddle [01/'hedl/]	[01* dtừ]\n- dây go (khung cửi) 
heddles [01/hedlz/]	[01* dtừ s/n]\n- (nghành dệt) dây go (ở khung cửi) 
hedge [01/hedʒ/]	[01* dtừ]\n- hàng rào, bờ giậu; (bóng) hàng rào ngăn cách\n[02= quickset hedge] hàng rào cây xanh\n[02= dead hedge] hàng rào cây khô; hàng rào gỗ\n- hàng rào (người hoặc vật)\n- sự đánh bao vây (đánh cá ngựa... để yên trí khỏi thua)\n[04! it doesn't grow on every hedge]\n- cái đó hiếm thấy\n[01* ttừ]\n- (thuộc) hàng rào; ở hàng rào; gần hàng rào\n- vụng trộm, lén lút\n[02= a hedge love-affair] chuyện yêu đương lén lút\n[01* ngđtừ]\n- rào lại (một miếng đất...)\n- (bóng) bao quanh, bao bọc, bao vây\n[02= to hedge in the enemy's army] bao vây quân địch\n- ngăn cách, rào đón\n[01* nđtừ]\n- (hiếm) làm hàng rào; sửa hàng rào, sửa giậu\n- tránh không trả lời thẳng, tìm lời thoái thác; tránh không tự thắt buộc mình\n- đánh bao vây (đánh cá ngựa... để yên trí khỏi thua)\n[04! to hedge in]\n- rào lại, bao quanh bằng hàng rào\n[04! to hedge off]\n- ngăn cách bằng hàng rào
hedge defense [01/'hedʒdi'fens/]	[01* dtừ]\n- (qsự) kiểu phòng ngự "con chim"
hedge garlic [01/'hedʒ,ga:lik/]	[01* dtừ]\n- xem [03garlic mustard] 
hedgehog [01/'hedʒhɔg/]	[01* dtừ]\n- (động vật) con nhím Âu (thuộc loại ăn sâu bọ)\n- (qsự) tập đoàn cứ điểm kiểu "con chim"\n- quả có nhiều gai\n- người khó giao thiệp
hedge-hop [01/'hedʒhɔp/]	[01* nđtừ]\n- (hàng không),(tục) bay là sát mặt đất và chồm lên khi có chướng ngại
hedge-hopper [01/'hedʒ,hɔpə/]	[01* dtừ]\n- (hàng không),(tục) máy bay bay là sát mặt đất
hedge-marriage [01/'hedʒ,mæridʒ/]	[01* dtừ]\n- đám cưới bí mật; đám cưới lén lút
hedge-priest [01/'hedʒpri:st/]	[01* dtừ]\n- thầy tu dốt nát
hedger [01/'hedʒə/]	[01* dtừ]\n- người làm hàng rào, người sửa dậu
hedgerow [01/'hedʒrou/]	[01* dtừ]\n- hàng rào cây (hàng cây làm hàng rào) 
hedge-school [01/'hedʒsku:l/]	[01* dtừ]\n- (Ai-len) trường cho trẻ em nhà giàu\n- trường học ngoài trời
hedge-sparrow [01/'hedʒ,spærou/]	[01* dtừ]\n- (động vật) chim chích bờ giậu
hedonic [01/hi:'dɔnik/]	[01* ttừ]\n- hưởng lạc\n- (thuộc) chủ nghĩa khoái lạc
hedonism [01/'hi:dənizm/]	[01* dtừ]\n- chủ nghĩa khoái lạc
hedonist [01/'hi:dənist/]	[01* dtừ]\n- người theo chủ nghĩa khoái lạc
hedonistic [01/,hi:də'nistik/]	[01* ttừ]\n- (thuộc) chủ nghĩa khoái lạc, khoái lạc chủ nghĩa
