kaliphate [01/'keilifeit/]	[01* dtừ]\n- xem [03caliphate] 
kerb crawler [01/'kə:b,krɔ:lə/]	[01* dtừ]\n- người lái xe chầm chậm sát bên vỉa hè để buộc người bạn tình phải vào xe
kerb drill [01/'kə:bdril/]	[01* dtừ]\n- quy tắc an toàn khi băng qua đường
kerb market [01/'kə:b'mɑ:kit/]	[01* dtừ]\n- (lóng) thị trường chứng khoán chợ đen; việc buôn bán chứng khoán chợ đen
kerb-crawling [01/'kə:b'krɔ:liη/]	[01* dtừ]\n- sự rà xe sát lề để kiếm gái
kerb-stone [01/'kə:bstoun/]	[01* dtừ]\n- phiến đá lát lề đường\n- (Mỹ),(lóng) thị trường chứng khoán chợ đen\n[04! kerb-stone broker]\n- tay buôn chứng khoán chợ đen
kerchief [01/'kə:t∫if/]	[01* dtừ]\n- khăn vuông trùm đầu (của phụ nữ)\n- (thơ ca) khăn tay, khăn mùi soa
kerchiefed [01/'kə:t∫ift/]	[01* ttừ]\n- có trùm khăn vuông
kerchieft [01/'kə:t∫ift/]	như [03kerchiefed]
kerf [01/kə:f/]	[01* dtừ]\n- khía, rạch, vết cưa\n- đầu cưa, đầu chặt (của một cây bị đốn xuống) 
kerfuffle [01/kə'fʌfl/]	[01* dtừ]\n- sự ồn ào náo nhiệt
kermes [01/'kə:miz/]	[01* dtừ]\n- (động vật) sâu kemet\n- phẩm kemet (chất đỏ lấy ở sâu kemet, làm thuốc nhuộm) 
kermes oak [01/'kə:mizouk/]	[01* dtừ]\n- (thực vật) cây sồi kemet (ở Nam âu và Bắc phi; thường có sâu kemet) 
kermesite [01/'kə:mizait/]	[01* dtừ]\n- (khoáng) khoáng chất màu đỏ; keemezit
kermess [01/'kə:mes/]	[01* dtừ]\n- chợ phiên
kermis [01/'kə:mis/]	như [03kermess]
kermit	- Một giao thức truyền thống không đồng bộ cho phép truyền không lỗi các tệp chương trình qua hệ thống điện thoại một cách dễ dàng hơn
kern [01/kə:n/]	[01* dtừ]\n- (sử học) lính bộ Ai-len\n- người nông dân; người quê mùa
kerne [01/'kə:n/]	như [03kern]
kernel [01/'kə:nl/]	[01* dtừ]\n- (thực vật) nhân (trong quả hạch)\n- hạt (lúa mì)\n- (bóng) bộ phận nòng cốt, bộ phận chủ yếu
kerneled	- xem [03kernel] 
kerning	- co kéo (sự điều chỉnh khoảng cách giữa hai ký tự cặp đôi trong dạng hiển thị) 
kernite [01/'kə:nait/]	[01* dtừ]\n- (khoáng) kecnit
kerosene [01/'kerəsi:n/]	[01* dtừ]\n- dầu lửa
kerosine [01/'kerəsi:n/]	[01* dtừ]\n- như [03kerosene] 
kerry [01/'keri/]	[01* dtừ]\n- loại bò sữa Island
kersey [01/'kə:zi/]	[01* dtừ]\n- vải len thô kẻ sọc\n- (số nhiều) quần vải len thô kẻ sọc
kerseymere [01/'kə:zimiə/]	[01* dtừ]\n- vải len mỏng sọc chéo\n- (số nhiều) quần len mỏng sọc chéo
kerygma [01/kə'rigmə/]	[01* dtừ] s/n [03kerygmata]\n- lời tuyên bố cứu vớt nhờ tác dụng của chúa Giêxu
kerygmatic [01/kerig'mætik/]	[01* ttừ]\n- (thuộc) lời tuyên bố cứu vớt nhờ tác dụng của chúa Giêxu
kestrel [01/'kestrəl/]	như [03windhover]
ketch [01/ket∫/]	[01* dtừ]\n- thuyền buồm nhỏ (có hai cột buồm) 
ketchup [01/'ket∫əp/]	[01* dtừ]\n- nước xốt cà chua nấm
keto [01/'ki:tou/]	[01* ttừ]\n- thuộc xeton
ketone [01/'ki:toun/]	[01* dtừ]\n- (hoá) Xeton
ketonic	- xem [03ketone] 
kettle [01/'ketl/]	[01* dtừ]\n- ấm đun nước\n[04! pretty (fine, nice) kettle of fish]\n- tình thế rất khó xử, việc rắc rối
kettle of fish [01/'ketl əv'fi∫/]	[01* dtừ]\n-(tục) tình trạng, tình thế hỗn loạn hoặc khó xử\n[02= a pretty kettle of fish!] thật là rắc rối!
kettle-drum [01/'ketldrʌm/]	[01* dtừ]\n- (âm nhạc) trống định âm\n- tiệc trà lớn vào buổi chiều
kettle-drummer [01/'ketl,drʌmə/]	[01* dtừ]\n- (âm nhạc) người chơi trống định âm
kettle-holder [01/'ketl,houldə/]	[01* dtừ]\n- đồ lót quai ấm (cho đỡ nóng tay) 
kevel [01/'kevl/]	[01* dtừ]\n- (hàng hải) chạc (để buộc dây thuyền) 
key [01/ki:/]	[01* dtừ]\n- hòn đảo nhỏ\n- bâi cát nông; đá ngần\n[01* dtừ]\n- chìa khoá\n- khoá (lên dây đàn, dây cót đồng hồ, vặn đinh ốc...)\n- (âm nhạc) khoá; điệu, âm điệu\n[02= the key of C major] khoá đô trưởng\n[02= major key] điệu trưởng\n[02= minor key] điệu thứ\n- (điện học) cái khoá\n[02= charge and discharge key] cái khoá phóng nạp\n- phím (đàn pianô) ; nút bấm (sáo) ; bấm chữ (máy chữ)\n- (kỹ) mộng gỗ; chốt sắt; cái nêm\n- cái manip ((thường) telegraph key)\n- chìa khoá (của một vấn đề...), bí quyết; giải pháp\n[02= the key to a mystery] chìa khoá để khám phá ra một điều bí ẩn\n[02= the key to a difficulty] giải pháp cho một khó khăn\n- lời giải đáp (bài tập...), sách giải đáp toán; lời chú dẫn (ở bản đồ)\n- bản dịch theo từng chữ một\n- ý kiến chủ đạo, ý kiến bao trùm\n- (Mỹ) nguyên tắc cơ bản; khẩu hiệu chính trong một cuộc vận động\n- vị trí cửa ngõ, vị trí then chốt\n[02= Gibraltar has been called the key to the Mediterranean] người ta gọi Gi-bran-ta là cửa ngõ của Địa trung hải\n- giọng; cách suy nghĩ, cách diễn đạt\n[02= to speak in a high key] nói giọng cao\n[02= to speak in a low key] nói giọng trầm\n[02= all in the same key] đều đều, đơn điệu\n- (số nhiều) quyền lực của giáo hoàng\n[02= power of the keys] quyền lực của giáo hoàng\n- (định ngữ) then chốt, chủ yếu\n[02= key branch of industry] ngành công nghiệp then chốt\n[02= key position] vị trí then chốt\n[04! golden (silver) key]\n- tiền đấm mồm, tiền hối lộ\n[04! to have (get) the key of the street]\n- phải ngủ đêm ngoài đường, không cửa không nhà\n[01* ngđtừ]\n- khoá lại\n- (kỹ)((thường) +[02in, on]) chèn, chêm, nêm, đóng chốt\n- ((thường) +[02up]) lên dây (đàn pianô...)\n- (Mỹ) làm cho hợp với, làm cho thích ứng với\n[04! to key up]\n- (bóng) khích động, kích thích, cổ vũ, động viên\n[02= to key up somebody to do something] động viên ai làm gì\n- nâng cao, tăng cường\n[02= to key up one's endeavour] tăng cường nỗ lực\n- (Mỹ) làm căng thẳng tinh thần, làm căng thẳng đầu óc
key money [01/'ki:'mʌni/]	[01* dtừ]\n- tiền mà người thuê nhà buộc lòng phải trả cho chủ nhà trước khi vào ở
key witness	[01* dtừ]\n- nhần chứng quan trọng
key word [01/'ki:wə:d/]	[01* dtừ]\n- từ then chốt
keyboard [01/'ki:bɔ:d/]	[01* dtừ]\n- bàn phím (pianô) ; bàn chữ (máy chữ)\n- (điện học) bảng điều khiển; bảng phân phối\n- bảng chuyển mạch; tổng đài điện thoại\n- (Mỹ) bảng treo chìa khoá
keyboarder [01/'ki:bɔ:də(r) /]	[01* dtừ]\n- người sử dụng bàn phím
keyboardist	- xem [03keyboard] 
